#{"t_start": 1763489288.3692653, "env_id": "None"}
r,l,t
10.788935,240,6.628628
-11.504048,240,7.9973791-15.341627,240,9.494793-2-171.447996,240,15.6898154.-1.033192,240,21.650197
127.043407,31,22.454-9.3131.424809,42,23.502184
104.36508,18,24.00161528-13.178002,240,29.87421
-515.978796,174,34.347662
128.770402,37,35.2370-568.809131,240,36.050993
127.536651,44,37.018959
-427.946915,240,43.059589
-158.8296,144,46.77275
--24.188715,240,48.849715
--28.080035,240,55.029511
17.516254,225,60.071368
112.074869,60,61.624889
-381.888613,126,63.215467-23.844786,240,68.295503
-3.132608,240,74.692411
133.484306,30,75.515141
94.938579,212,77.811219
134.022399,39,78.844283
-12.286141,240,83.555007
82.068117,110,86.46379
-14.00137,240,92.506855
100.811816,18,93.020504
164.618306,80,95.247492
122.695932,85,97.421376
108.596738,201,102.226241
-8.165538,240,108.893304
-35.77052,240,114.425582
-118.102266,240,120.205158
9.105834,240,125.595702
-125.095472,240,130.553351
-24.211987,240,135.276545
-206.111583,86,137.053799
-28.282605,44,137.969509
-54.737609,70,139.398145
120.792048,43,140.370399
8.484501,240,145.462614
94.665316,21,145.899601
-21.916645,240,151.009982
128.233827,178,154.762602
113.983895,28,155.37677
86.348467,26,155.892279
132.803575,60,157.137839
96.154105,30,157.737957
-34.00768,240,162.799407
90.481468,32,163.461098
63.113378,44,164.403445
112.343935,212,168.963849
-298.82788,240,174.105326
-28.459415,240,179.420621
-42.741088,240,184.484432
78.954637,30,185.132529
113.260484,21,185.538991
118.416055,22,185.969039
92.535519,25,186.556628
-444.725157,240,191.635397
-16.582025,240,196.760867
-15.673331,240,201.896944
-61.249428,240,206.913423
80.078547,16,207.255428
145.82613,85,209.053826
120.263439,26,209.711842
-664.205186,240,215.248353
132.003515,23,215.72361
-15.308383,240,220.835712
-245.258965,240,226.033229
-135.334576,49,227.134015
100.406,46,228.199482
79.627273,206,232.66519
110.274419,19,233.070163
75.719367,17,233.406245
85.152101,72,234.936115
91.030094,64,236.324404
-22.576756,240,241.394688
101.195315,106,243.722897
95.017207,48,244.961184
-40.179789,240,250.115968
143.18278,40,251.118261
84.052411,32,251.849751
129.992057,28,252.453306
105.762446,26,253.13745
104.614545,25,253.724741
-20.892817,240,258.735391
119.117907,15,259.1024
5.955469,240,264.133136
-14.456648,240,269.153504
82.443615,36,269.867268
97.999599,20,270.403513
95.942383,27,270.967712
16.513622,240,276.156674
96.459129,86,277.958547
4.829785,240,283.118703
110.031954,32,283.763918
72.187316,26,284.339327
-22.415528,240,289.280581
14.21983,240,294.342568
-165.492982,240,299.420631
148.368081,71,300.917653
117.027505,32,301.578238
119.254807,15,301.874788
131.874146,24,302.351829
97.393611,40,303.257333
-33.579125,240,308.358097
104.189374,28,308.934129
-18.828673,240,314.028625
9.774856,240,319.068832
118.679729,15,319.394603
106.420106,34,320.09151
-164.897323,11,320.313271
-17.302134,240,325.371605
128.672312,21,325.794924
110.152305,20,326.242406
105.454591,41,327.089598
135.301973,42,327.958347
-53.04547,240,332.895946
129.296993,21,333.331388
123.094881,29,333.992814
117.63317,25,334.509133
116.497561,26,335.041014
108.621048,49,336.107419
134.261378,37,336.87641
-1.983957,240,342.018738
101.767813,23,342.555852
96.57721,37,343.348992
-18.437001,240,348.672028
117.072363,34,349.358702
-7.256042,240,354.510261
36.773332,32,355.173954
8.925371,240,360.203121
12.718192,240,365.228848
135.439344,26,365.74397
119.638484,128,368.439047
-36.436581,240,373.491331
116.382857,24,374.001169
-153.093868,29,374.589964
113.447119,39,375.448984
-8.182535,240,380.601282
139.383403,50,381.694387
-30.56909,240,386.643766
-16.666471,240,391.767655
74.125298,27,392.347376
-12.695494,240,397.454482
98.577049,20,397.863141
122.366954,16,398.191717
155.419047,60,399.479934
128.764037,21,399.90938
--10.698388,240,405.132395
99.098257,57,406.396402
