#{"t_start": 1763070829.3985534, "env_id": "None"}
r,l,t
-18.965635,4,0.020005
-18.915684,33,0.075444
125.088247,99,0.23299
-18.953042,35,0.284251
-18.945443,44,0.350882
-18.958136,39,0.406272
-18.963811,29,0.453384
-18.930394,40,0.506552
-18.938508,31,0.556632
-18.965025,36,0.643602
-18.948842,40,0.770821
-18.965943,32,0.823715
-18.934701,48,0.900348
-18.961702,42,0.970456
-18.892525,38,1.020399
-18.956513,38,1.085358
-18.964884,42,1.15184
-18.934951,37,1.207932
-18.950961,45,1.265762
-18.962154,29,1.313454
-18.963408,29,1.422333
-18.961407,48,1.488326
-18.971666,43,1.562986
-18.944657,27,1.613853
-18.934675,42,1.671091
125.109813,97,1.82451
-18.933831,34,1.883453
-18.93446,42,1.948521
-18.961233,43,2.008628
-18.959038,28,2.109744
-18.967106,29,2.162387
-18.959799,33,2.209766
-18.946697,38,2.29092
-18.956591,57,2.393878
-18.915408,36,2.445004
-18.939057,42,2.506669
-18.929427,42,2.57069
-18.97,23,2.600325
-18.962821,37,2.649853
-18.926599,40,2.708254
-18.940643,47,2.84868
-18.937849,57,2.942252
-18.920435,39,3.009911
-18.960438,42,3.068964
-18.906734,50,3.148554
-18.912798,53,3.227207
-18.949164,27,3.267102
-18.951367,48,3.336374
-18.950907,43,3.402404
-18.938745,41,3.535814
-18.923936,36,3.593642
-18.950322,32,3.653603
-18.967746,46,3.724345
-18.878686,38,3.777275
-18.976496,41,3.843876
-18.947125,38,3.897452
-18.970215,31,3.947459
-18.944898,47,4.009199
-18.876914,39,4.070056
-18.932563,38,4.193171
-18.930289,48,4.282389
-18.93723,28,4.330999
-18.942188,44,4.451305
-18.920339,32,4.50196
-18.916361,42,4.563618
-18.952562,41,4.622688
101.0,1,4.624285
-18.956446,31,4.675639
-18.905805,40,4.728781
-18.932315,39,4.785863
-18.931214,28,4.826701
-18.919208,35,4.940055
-18.967594,31,4.993728
-18.953816,36,5.054439
-18.967358,30,5.108557
-18.949555,28,5.146743
-18.934908,31,5.188277
101.0,1,5.19001
-18.95306,29,5.238627
-18.924309,40,5.294956
-18.915826,38,5.351914
-18.961288,32,5.399262
-18.908842,40,5.457721
-18.968642,29,5.496636
-18.946679,40,5.623615
-18.972558,40,5.692096
-18.918531,40,5.766775
-18.976194,31,5.815028
-18.939023,45,5.880897
-18.947997,41,5.938236
-18.956763,32,5.985891
-18.947979,39,6.037478
-18.950767,42,6.09818
-18.916027,51,6.172234
-18.945711,26,6.270092
-18.96686,31,6.326799
-18.932938,42,6.40361
-18.951067,47,6.473545
-18.917797,38,6.553372
-18.958811,24,6.59833
-18.936946,62,6.692332
-18.944048,38,6.750807
-18.956405,41,6.807094
-18.982459,30,6.852579
-18.9696,43,6.976443
-18.989226,12,7.000772
-18.958277,42,7.0764
-18.950257,28,7.120605
-18.931514,29,7.168527
-18.943,31,7.210282
-18.963586,48,7.278671
-18.879572,24,7.314494
-18.937369,45,7.378448
-18.938523,38,7.434046
-18.962171,33,7.483106
123.145971,108,7.697865
-18.923074,37,7.766138
-18.952245,45,7.843112
-18.974945,33,7.892685
-18.956109,43,7.95544
-18.964123,33,8.003149
-18.938846,38,8.059677
-18.95971,37,8.112327
-18.980815,30,8.158258
-18.880221,79,8.326952
-18.935591,39,8.398525
125.085796,87,8.538281
-18.936806,46,8.612762
-18.912867,39,8.69383
-18.952431,42,8.778396
-18.935215,32,8.82828
-18.955578,21,8.855507
-18.955516,25,8.898118
-18.940039,36,9.01082
-18.946523,36,9.069382
-18.960578,39,9.143533
-18.954601,62,9.240859
-18.924201,49,9.305233
-18.924835,25,9.348086
-18.950771,42,9.405114
-18.979273,38,9.464271
-18.957827,33,9.512157
101.040772,28,9.5536
-18.91565,47,9.623188
-18.934067,34,9.751199
-18.942735,47,9.821091
-18.959342,45,9.902148
101.0,1,9.9039
-18.923624,51,9.982117
-18.940602,42,10.041523
-18.963999,29,10.089146
-18.933705,27,10.124619
-18.981956,30,10.167677
-18.96846,16,10.193689
-18.946131,49,10.259873
-18.953218,45,10.386594
-18.936161,49,10.466357
132.081168,54,10.546764
-18.956926,35,10.602442
-18.921198,36,10.66151
119.163291,84,10.778687
125.086546,90,10.937641
-18.96282,18,10.982148
-4.946126,37,11.104511
-18.907229,41,11.180125
-18.946186,46,11.254706
-7.907059,53,11.333323
-18.919031,37,11.386798
-18.915431,42,11.452255
-14.956845,24,11.482941
-18.947043,28,11.530221
-18.90041,26,11.563648
-18.896202,38,11.621969
-18.955336,21,11.656054
-6.889533,58,11.801002
-18.912282,21,11.850863
3.026107,30,11.894509
-18.908294,31,11.954302
-18.853397,30,12.002485
-18.89254,28,12.04912
-18.945718,15,12.069899
-18.867128,26,12.103623
-18.936909,43,12.168108
-18.98774,7,12.177116
-18.896362,33,12.221254
-2.867633,91,12.346674
-18.88797,34,12.463508
-18.906123,39,12.530425
-18.875664,43,12.585342
-18.892293,30,12.641822
-13.80216,55,12.725029
-18.896927,39,12.776484
-18.975289,14,12.799729
-18.879764,29,12.850311
-18.933554,29,12.8873
-18.905326,37,12.944643
-18.892059,34,12.992746
-18.938089,22,13.021148
-18.951212,20,13.162617
101.0,1,13.164678
-18.909793,44,13.235586
124.203363,72,13.349685
-18.894161,59,13.438097
-18.929266,16,13.463566
-18.88047,27,13.498734
-18.935386,34,13.546921
-18.912377,45,13.609625
101.0,1,13.611292
-5.897794,58,13.695841
-18.908244,42,13.817982
-18.90207,27,13.864327
-18.924792,28,13.905944
-18.843929,40,13.972637
-18.92151,27,14.01902
-18.974126,24,14.058779
-13.838278,53,14.125846
-18.93562,34,14.185261
-18.955308,38,14.243739
-18.897073,44,14.304374
101.0,1,14.305951
-18.924763,35,14.364639
-18.902813,38,14.486651
-18.945142,27,14.535576
129.186194,121,14.719136
-18.8492,33,14.769335
-18.973605,10,14.782354
-18.961018,15,14.82205
123.136167,96,14.986496
-18.935545,35,15.043337
-17.986422,24,15.073858
-18.958481,12,15.089369
101.0,1,15.090956
-18.920228,26,15.186978
-7.820753,74,15.300341
130.146362,89,15.445612
-18.882874,35,15.496747
-18.957661,24,15.532746
-18.930519,14,15.55096
-18.955104,46,15.61988
-18.9345,34,15.672282
-18.992003,13,15.689635
-18.915805,33,15.734094
-18.95341,17,15.763545
-18.873589,28,15.865898
-18.911681,26,15.915386
-18.907482,36,15.967457
-18.875151,32,16.025961
-18.89741,39,16.08163
-18.942491,38,16.141186
-14.934621,65,16.236485
-18.915545,38,16.285547
-18.953889,42,16.350935
-18.964395,42,16.409682
-18.919962,39,16.524454
-18.870128,25,16.567
-18.891387,25,16.601161
-18.952215,33,16.646298
